Exchange,Symbol,Company Name,Token,Series/Group
BSE,AJCJEWEL,AJCJEWEL,544425,BSE_EQ
BSE,AJCON,AJCON,511692,BSE_EQ
BSE,AJMERA,AJMERA,513349,BSE_EQ
BSE,AJWAFUN,AJWAFUN,526628,BSE_EQ
BSE,AKCAPIT,AKCAPIT,530499,BSE_EQ
BSE,AKI,AKI,542020,BSE_EQ
BSE,AKSHAR,AKSHAR,541303,BSE_EQ
BSE,AKSHARCHEM,AKSHARCHEM,524598,BSE_EQ
BSE,AKSHOPTFBR,AKSHOPTFBR,532351,BSE_EQ
BSE,AKUMS,AKUMS,544222,BSE_EQ
BSE,ALANKIT,ALANKIT,531082,BSE_EQ
BSE,ALANSCOTT,ALANSCOTT,539115,BSE_EQ
BSE,ALBERTDAVD,ALBERTDAVD,524075,BSE_EQ
BSE,ALEMBICLTD,ALEMBICLTD,506235,BSE_EQ
BSE,ALEXANDER,ALEXANDER,511463,BSE_EQ
BSE,ALFAICA,ALFAICA,530973,BSE_EQ
BSE,ALFATRAN,ALFATRAN,517546,BSE_EQ
BSE,ALFAVIO,ALFAVIO,531156,BSE_EQ
BSE,ALFL,ALFL,538952,BSE_EQ
BSE,ALFREDHE,ALFREDHE,505216,BSE_EQ
BSE,ALGOQUANT,ALGOQUANT,505725,BSE_EQ
BSE,ALICON,ALICON,531147,BSE_EQ
BSE,ALIVUS,ALIVUS,543322,BSE_EQ
BSE,ALKALI,ALKALI,533029,BSE_EQ
BSE,ALKEM,ALKEM,539523,BSE_EQ
BSE,ALKOSIGN,ALKOSIGN,543453,BSE_EQ
BSE,ALKYLAMINE,ALKYLAMINE,506767,BSE_EQ
BSE,ALLCARGO,ALLCARGO,532749,BSE_EQ
BSE,ALLDIGI,ALLDIGI,532633,BSE_EQ
BSE,ALLTIME,ALLTIME,544479,BSE_EQ
BSE,ALMONDZ,ALMONDZ,531400,BSE_EQ
BSE,ALNATRD,ALNATRD,506120,BSE_EQ
BSE,ALOKINDS,ALOKINDS,521070,BSE_EQ
BSE,ALPA,ALPA,532878,BSE_EQ
BSE,ALPHA,ALPHA,590154,BSE_EQ
BSE,ALPHAETF,ALPHAETF,544007,BSE_EQ
BSE,ALPHAGEO,ALPHAGEO,526397,BSE_EQ
BSE,ALPHAIND,ALPHAIND,543937,BSE_EQ
BSE,ALPHALOGIC,ALPHALOGIC,542770,BSE_EQ
BSE,ALPINEHOU,ALPINEHOU,526519,BSE_EQ
BSE,ALPL30IETF,ALPL30IETF,543219,BSE_EQ
BSE,ALSL,ALSL,535916,BSE_EQ
BSE,ALTIUSINVIT,ALTIUSINVIT,543225,BSE_EQ
BSE,ALUFLUOR,ALUFLUOR,524634,BSE_EQ
BSE,AMAGI,AMAGI,544679,BSE_EQ
BSE,AMAL,AMAL,506597,BSE_EQ
BSE,AMALGAM,AMALGAM,501622,BSE_EQ
BSE,AMANAYA,AMANAYA,543804,BSE_EQ
BSE,AMANTA,AMANTA,544502,BSE_EQ
BSE,AMARJOTHI,AMARJOTHI,521097,BSE_EQ
BSE,AMARNATH,AMARNATH,538863,BSE_EQ
BSE,AMARSEC,AMARSEC,538465,BSE_EQ
BSE,AMBALALSA,AMBALALSA,500009,BSE_EQ
BSE,AMBARPIL,AMBARPIL,519471,BSE_EQ
BSE,AMBER,AMBER,540902,BSE_EQ
BSE,AMBICAAGAR,AMBICAAGAR,532335,BSE_EQ
BSE,AMBIKCO,AMBIKCO,531978,BSE_EQ
BSE,AMBIT,AMBIT,526439,BSE_EQ
BSE,AMBOAGRI,AMBOAGRI,543678,BSE_EQ
BSE,AMBUJACEM,AMBUJACEM,500425,BSE_EQ
BSE,AMCOIND,AMCOIND,530133,BSE_EQ
BSE,AMDIND,AMDIND,532828,BSE_EQ
BSE,AMEENJI,AMEENJI,544555,BSE_EQ
BSE,AMERISE,AMERISE,531681,BSE_EQ
BSE,AMFORG,AMFORG,513117,BSE_EQ
BSE,AMIC,AMIC,544037,BSE_EQ
BSE,AMINTAN,AMINTAN,541771,BSE_EQ
BSE,AMIRCHAND,AMIRCHAND,544743,BSE_EQ
BSE,AMITSEC,AMITSEC,531557,BSE_EQ
BSE,AMJLAND,AMJLAND,500343,BSE_EQ
BSE,AMKAY,AMKAY,544169,BSE_EQ
BSE,AMNPLST,AMNPLST,506248,BSE_EQ
BSE,AMPL,AMPL,539598,BSE_EQ
BSE,AMPVOLTS,AMPVOLTS,535719,BSE_EQ
BSE,AMRAAGRI,AMRAAGRI,531991,BSE_EQ
BSE,AMRAFIN,AMRAFIN,539265,BSE_EQ
BSE,AMRAPLIN,AMRAPLIN,526241,BSE_EQ
